,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,"Scenario 4, no shielding"
parameter_name,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario4_noshielding
self_quarantine_fraction,0.8,0.8,0.8,0.8,0.8,0.8,0.8
quarantine_household_on_positive,1,1,1,1,1,1,1
quarantine_household_on_symptoms,1,1,1,1,1,1,1
intervention_start_time,10000,10000,10000,10000,10000,10000,10000
trace_on_positive,0,1,1,1,1,1,1
trace_on_symptoms,0,1,1,1,1,0,1
quarantine_on_traced,0,1,1,1,1,1,1
test_on_traced,0,0,0,0,0,0,0
tracing_network_depth,1,1,1,1,1,1,1
quarantine_household_on_traced,0,0,1,1,1,1,1
quarantine_household_contacts_on_positive,0,0,0,0,0,0,0
traceable_interaction_fraction,0,0.8,0.8,0.8,0.8,0.8,0.8
quarantine_household_contacts_on_symptoms,0,0,0,0,0,0,0
TEMP_intervention_trigger_n_infected,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
TEMP_lockdown_trigger_n_infected,0.01,0.01,0.01,0.01,0.01,0.01,0.01
TEMP_lockdown_trigger_length,35,35,35,35,35,35,35
TEMP_lockdown_trigger_keep_elderly,1,1,1,1,1,1,0
TEMP_lockdown_trigger_app_on_end,0,1,1,1,1,1,1
quarantine_smart_release_day,0,0,0,5,0,0,5
TEMP_lockdown_trigger_time_to_test,10000,10000,10000,10000,14,14,10000
test_order_wait,1,1,1,1,1,0,1
test_result_wait,1,1,1,1,1,0,1
app_turn_on_time,10000,10000,10000,10000,10000,10000,10000
app_users_fraction_0_9,0,0,0,0,0,0,0
app_users_fraction_10_19,0.72,0.72,0.72,0.72,0.72,0.72,0.72
app_users_fraction_20_29,0.768,0.768,0.768,0.768,0.768,0.768,0.768
app_users_fraction_30_39,0.76,0.76,0.76,0.76,0.76,0.76,0.76
app_users_fraction_40_49,0.728,0.728,0.728,0.728,0.728,0.728,0.728
app_users_fraction_50_59,0.648,0.648,0.648,0.648,0.648,0.648,0.648
app_users_fraction_60_69,0.512,0.512,0.512,0.512,0.512,0.512,0.512
app_users_fraction_70_79,0.328,0.328,0.328,0.328,0.328,0.328,0.328
app_users_fraction_80,0.216,0.216,0.216,0.216,0.216,0.216,0.216
n_replicates,65,65,65,65,65,65,65